凧,434,77210
卯,435,77720
印,436,77720
卭,437,17120
冉,438,50447
冊,439,77440
冎,440,77227
冋,441,77220
功,442,14127
加,443,46000
劢,444,14227
务,445,27427
写,446,37127
冚,447,37772
凹,448,77770
出,449,22772
击,450,50772
凷,451,22770
凸,452,77777
令,453,80302
仝,454,80102
仺,455,80711
仧,456,21801
仚,457,80772
代,458,23240
付,459,24200
仡,460,28217
伋,461,27247
们,462,27220
仫,463,22232
仟,464,22240
仞,465,27220
仨,466,21211
仕,467,24210
他,468,24212
仙,469,22270
仪,470,24203
仔,471,27247
仗,472,25200
仢,473,27220
仛,474,22214
仦,475,29200
仠,476,21240
仜,477,21212
仭,478,27240
仩,479,21210
半,480,90500
卉,481,40440
卌,482,44000
去,483,40732
厼,484,23900
厺,485,40732
讧,486,31712
记,487,37717
讦,488,31740
讫,489,38717
让,490,31710
讱,491,37720
讪,492,32770
讯,493,37710
训,494,32700
议,495,34703
讬,496,32714
讨,497,34700
廵,498,12403
发,499,23407
叐,500,20407
叏,501,50407
艾,502,44400
艽,503,44417
节,504,44227
艻,505,44427
艿,506,44227
艼,507,44201
芁,508,44217
芀,509,44227
边,510,34302
辽,511,37302
辺,512,37302
辸,513,37302
込,514,38300
辻,515,34300
对,516,74400
夯,517,40427
失,518,25800
头,519,34800
央,520,50800
夲,521,40408
夰,522,40228
夳,523,40101
平,524,10409
巧,525,11127
左,526,40102
巪,527,71027
弗,528,55027
弘,529,12231
弁,530,23440
庀,531,00212
広,532,00232
庁,533,00221
庂,534,00280
归,535,27070
布,536,40227
市,537,00227
帅,538,24027
帄,539,41220
叭,540,68000
叱,541,64010
叨,542,67020
叼,543,67020
叮,544,61020
句,545,27620
古,546,40600
号,547,60027
叽,548,67010
叫,549,62000
可,550,10620
叩,551,67020
叻,552,64027
另,553,60427
叵,554,71716
叶,555,64000
史,556,50006
司,557,17620
台,558,23600
叹,559,67040
右,560,40600
召,561,17602
只,562,60800
叺,563,68000
叾,564,17602
叧,565,60227
叴,566,40601
驭,567,77140
闪,568,37801
宄,569,30417
宁,570,30201
它,571,30712
宂,572,30217
奶,573,47427
奴,574,47440
奵,575,41420
犯,576,47212
犰,577,44217
屶,578,22227
屵,579,22201
屷,580,27727
屴,581,22427
屳,582,80772
尻,583,77217
尼,584,77212
饤,585,21720
饥,586,27710
壭,587,40227
扒,588,58000
打,589,51020
扑,590,53000
扔,591,57027
扐,592,54027
払,593,52030
扏,594,54017
扖,595,58000
汈,596,37120
氾,597,37112
氿,598,34117
汉,599,37140
汇,600,31110
汃,601,38100
汀,602,31120
汁,603,34100
氻,604,34127
汅,605,31127
汄,606,38100
纠,607,22100
圣,608,77104
圧,609,71214
圦,610,48100
圥,611,40212
圤,612,43100
圢,613,41120
囚,614,60800
四,615,60212
囙,616,60177
囘,617,77220
囜,618,60732
外,619,23200
夘,620,27220
夗,621,27212
尔,622,27902
尕,623,17902
尒,624,80900
尓,625,80900
忉,626,97020
忊,627,91020
忇,628,94027
幼,629,24727
弍,630,43100
冬,631,27303
处,632,23400
孕,633,17407
轧,634,42510
卮,635,72212
戋,636,53000
戊,637,53200
戉,638,53700
戹,639,30217
灭,640,10809
斥,641,72241
本,642,50230
末,643,50900
术,644,43900
未,645,50900
札,646,42910
朮,647,43212
朰,648,40717
氕,649,80217
犮,650,43407
旦,651,60100
旧,652,26000
氐,653,72740
民,654,77747
礼,655,32210
氹,656,12719
永,657,30902
氷,658,32900
氶,659,17902
氺,660,90900
玌,661,12110
必,662,33004
曱,663,60401
肊,664,77210
正,665,10101
白,666,26000
癶,667,12802
歺,668,21207
甘,669,44770
瓜,670,72230
禾,671,20904
钅,672,80704
立,673,00108
龙,674,43014
矛,675,17222
皿,676,77102
母,677,77750
目,678,60101
疒,679,00100
鸟,680,27127
皮,681,40247
生,682,25100
石,683,10602
矢,684,80804
示,685,10901
罒,686,60000
电,687,50716
甲,688,60500
申,689,50006
田,690,60400
由,691,50600
甴,692,40600
玄,693,00732
穴,694,30802
疋,695,17801
衤,696,30203
甩,697,77212
用,698,77220
玉,699,10103
玊,700,10104
乓,701,72031
乒,702,72201
乔,703,20228
乑,704,20902
丢,705,20732
襾,706,10227
丟,707,10732
両,708,10227
丠,709,12101
丞,710,17109
乩,711,22610
买,712,17804
乫,713,46717
乪,714,16710
乮,715,77717
乯,716,20717
乭,717,10717
乨,718,22610
礼,719,12910
屰,720,80407
共,721,44801
兴,722,90801
兲,723,10801
匈,724,27720
冰,725,32190
冲,726,35106
冱,727,31112
决,728,35180
冴,729,31140
厍,730,71254
压,731,71213
厌,732,71284
厊,733,71241
刕,734,17227
争,735,27507
创,736,82700
刚,737,72200
划,738,52000
列,739,12200
刘,740,02400
刓,741,12200
刎,742,22200
刑,743,12400
刖,744,72200
则,745,72800
刐,746,72400
刏,747,82000
刔,748,52800
光,749,90212
先,750,24212
兊,751,80212
兇,752,22212
兆,753,32113
亘,754,10106
亚,755,10102
亙,756,10102
匠,757,71712
匡,758,71711
匟,759,71711
匢,760,71712
阨,761,71212
阪,762,72247
邦,763,57027
邠,764,87227
邡,765,07227
防,766,70227
阶,767,78220
阱,768,75200
阬,769,70217
那,770,17527
阮,771,71212
邬,772,27127
邪,773,77227
邢,774,17427
阳,775,76200
阴,776,77220
阵,777,74250
阧,778,74200
邨,779,57727
邞,780,57827
邟,781,07227
邩,782,97827
阫,783,71290
阰,784,72210
邥,785,47027
阩,786,74200
邷,787,17727
邤,788,77227
阭,789,73212
阦,790,79280
阥,791,72290
邧,792,17227
阯,793,71210
关,794,80804
凫,795,27217
凨,796,77210
凩,797,77210
凪,798,77210
再,799,10447
网,800,77220
动,801,14727
劣,802,90427
劤,803,74227
劥,804,04227
劦,805,40427
劧,806,24527
军,807,37504
农,808,40732
凼,809,22770
会,810,80732
企,811,80101
伞,812,80409
众,813,80880
仰,814,27220
伧,815,28212
伥,816,22234
伡,817,24250
传,818,25232
伐,819,23250
仿,820,20227
伕,821,25280
伏,822,23284
伙,823,29280
伎,824,24247
价,825,28220
件,826,25200
伉,827,20217
伦,828,28212
仳,829,22210
佢,830,21217
任,831,22214
伤,832,28227
似,833,28200
佤,834,21217
伟,835,25227
伪,836,24227
伍,837,21212
仵,838,28240
伈,839,23200
休,840,24290
伢,841,21240
伊,842,27207
优,843,23212
伃,844,27222
伛,845,21214
仲,846,25206
伫,847,23212
伌,848,21212
仯,849,29220
伜,850,27241
伔,851,27217
仾,852,21212
伄,853,27227
伅,854,25217
仮,855,22247
仹,856,25200
仸,857,22284
伒,858,22221
仱,859,28227
伖,860,24247
伂,861,25227
伓,862,21290
伣,863,27212
仼,864,21214
仴,865,27220
伆,866,27220
伩,867,20240
伨,868,27220
伇,869,27247
伝,870,21232
伬,871,27287
伀,872,28232
份,873,28227
全,874,80104
华,875,24401
协,876,44030
卋,877,40774
厾,878,17710
厽,879,23732
充,880,00212
产,881,00201
亥,882,00802
交,883,00408
亦,884,00230
讹,885,34710
访,886,30727
讽,887,37710
讳,888,35727
讲,889,35705
讵,890,31717
诀,891,35780
论,892,38712
讷,893,34727
讴,894,31714
设,895,37747
讼,896,38732
讻,897,32770
许,898,38740
讶,899,31742
,900,32721
廷,901,12401
延,902,12401
叒,903,77447
芏,904,44104
芨,905,44247
芒,906,44710
芃,907,44217
芑,908,44717
